"id","name","email","phone","college","rollNumber","gender","roles","vehicleType","vehicleModel","vehiclePlate","vehicleColor","helmetProvided","vehicleSeats","ratingAvg","ratingCount","isVerified","password"
"29ba1c6f-943a-462e-a307-a6c327c39a57","Aarav Sharma 1","synthetic0001@synthetic.campus.pool","917000000000","VIT Pune","SYN00001","female","[""rider"",""driver""]","scooty","Honda Activa","MH12A0000","black","true","1","4.5","15","true","CampusPool123!"
"abc3a47b-8ad1-4b85-9c68-7d9ca2c6091e","Ananya Patil 2","synthetic0002@synthetic.campus.pool","917000000001","VIT Pune","SYN00002","male","[""rider"",""driver""]","scooty","TVS Jupiter","MH12B0001","silver","true","1","3.81","35","true","CampusPool123!"
"0195616c-ec89-4a4d-8990-b9d0d41435fa","Vihaan Kulkarni 3","synthetic0003@synthetic.campus.pool","917000000002","VIT Pune","SYN00003","prefer_not_to_say","[""rider"",""driver""]","car","Maruti Swift","MH12C0002","black","false","4","4.44","33","true","CampusPool123!"
"4bb40fa4-b428-432e-aca2-1a954ebd5186","Isha Deshmukh 4","synthetic0004@synthetic.campus.pool","917000000003","VIT Pune","SYN00004","female","[""rider"",""driver""]","bike","Honda Shine","MH12D0003","black","true","1","4.75","32","true","CampusPool123!"
"96f0bff7-4a51-45fe-924a-7fd40bd96af0","Aditya Joshi 5","synthetic0005@synthetic.campus.pool","917000000004","VIT Pune","SYN00005","male","[""rider"",""driver""]","car","Tata Tiago","MH12E0004","blue","false","4","4.06","34","true","CampusPool123!"
"856c5003-10e0-491c-b001-245c65a8fb4b","Meera Shah 6","synthetic0006@synthetic.campus.pool","917000000005","VIT Pune","SYN00006","prefer_not_to_say","[""rider"",""driver""]","bike","Bajaj Pulsar 150","MH12F0005","silver","true","1","4.15","6","true","CampusPool123!"
"dbffce9e-93ca-460b-a2e6-fec327ae8a6e","Rohan Jadhav 7","synthetic0007@synthetic.campus.pool","917000000006","VIT Pune","SYN00007","female","[""rider"",""driver""]","car","Hyundai i20","MH12G0006","blue","false","3","4.39","21","true","CampusPool123!"
"20bdc7ae-7082-421e-b675-6c4002d0295b","Sneha More 8","synthetic0008@synthetic.campus.pool","917000000007","VIT Pune","SYN00008","male","[""rider"",""driver""]","car","Hyundai i20","MH12H0007","silver","false","3","4.54","20","false","CampusPool123!"
"a4e13249-216e-49cd-8abf-6f5bd9c3fe4c","Kabir Pawar 9","synthetic0009@synthetic.campus.pool","917000000008","VIT Pune","SYN00009","prefer_not_to_say","[""rider"",""driver""]","scooty","Suzuki Access","MH12I0008","red","false","1","4.97","9","true","CampusPool123!"
"1137a11d-2e66-45ed-b840-8d12e6722bfa","Aditi Bhosale 10","synthetic0010@synthetic.campus.pool","917000000009","VIT Pune","SYN00010","female","[""rider"",""driver""]","scooty","Honda Activa","MH12J0009","blue","true","1","4.83","0","true","CampusPool123!"
"d3b6bef4-14dc-43ee-b1ea-5df640bff3ea","Siddharth Naik 11","synthetic0011@synthetic.campus.pool","917000000010","VIT Pune","SYN00011","male","[""rider"",""driver""]","bike","TVS Apache","MH12K0010","red","true","1","4.95","17","false","CampusPool123!"
"a78892d9-93b0-4a78-9a2f-2fad3db5becb","Riya Chavan 12","synthetic0012@synthetic.campus.pool","917000000011","VIT Pune","SYN00012","prefer_not_to_say","[""rider"",""driver""]","car","Maruti Swift","MH12L0011","red","false","4","4.56","19","true","CampusPool123!"
"613365a0-56e0-41a2-a7c9-48b35ec746a1","Aarav Sharma 13","synthetic0013@synthetic.campus.pool","917000000012","VIT Pune","SYN00013","female","[""rider"",""driver""]","bike","TVS Apache","MH12M0012","white","true","1","4.91","18","true","CampusPool123!"
"6767d864-c164-421c-8b90-0f29abc5af41","Ananya Patil 14","synthetic0014@synthetic.campus.pool","917000000013","VIT Pune","SYN00014","male","[""rider"",""driver""]","scooty","TVS Jupiter","MH12N0013","red","true","1","4.06","34","false","CampusPool123!"
"62390621-3521-47ba-869a-f822874bb453","Vihaan Kulkarni 15","synthetic0015@synthetic.campus.pool","917000000014","VIT Pune","SYN00015","prefer_not_to_say","[""rider"",""driver""]","scooty","Suzuki Access","MH12O0014","silver","true","1","4.1","10","true","CampusPool123!"
"9449171f-669b-4ae3-8a11-85c2698005b4","Isha Deshmukh 16","synthetic0016@synthetic.campus.pool","917000000015","VIT Pune","SYN00016","female","[""rider"",""driver""]","scooty","Suzuki Access","MH12P0015","blue","true","1","4.92","1","true","CampusPool123!"
"8005e16b-eaf8-45be-b4d8-a5fcd5431201","Aditya Joshi 17","synthetic0017@synthetic.campus.pool","917000000016","VIT Pune","SYN00017","male","[""rider"",""driver""]","scooty","Suzuki Access","MH12Q0016","white","true","1","4.19","9","true","CampusPool123!"
